Sr. No.,Venue,Stage,Team 1,Team 2,Toss Winner,Toss decision,First Batting,Second batting,First  Innings Score ,second Innings Score,First  Innings Run Rate,Second  Innings Run Rate,Winner,Won by,Player of the match
1,"MA Chidambaram Stadium, Chennai",Group Stage,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Batting,Royal Challengers Bengaluru,Chennai Super Kings,173/6,176/4,RR 8.65,RR 9.43,CSK,6 wickets,Mustafizur Rahman 
2,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Group Stage,Punjab Kings,Delhi Capitals,Punjab Kings,Bowling,Delhi Capitals,Punjab Kings,174/9,177/6,RR 8.70,RR 9.16,PBKS,4 wickets,Sam Curran 
3,"Eden Gardens, Kolkata",Group Stage,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Bowling,Kolkata Knight Riders,Sunrisers Hyderabad,208/7,204/7,RR 10.40,RR 10.20,KKR,4 runs,Andre Russell 
4,"Sawai Mansingh Stadium, Jaipur",Group Stage,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,Batting,Rajasthan Royals,Lucknow Super Giants,193/4,173/6,RR 9.65,RR 8.65,RR,20 runs,Sanju Samson 
5,"Narendra Modi Stadium, Ahmedabad",Group Stage,Gujarat Titans,Mumbai Indians,Mumbai Indians,Bowling,Gujarat Titans,Mumbai Indians,168/6,162/9,RR 8.40,RR 8.10,GT,6 runs,Sai Sudharsan 
6,"M.Chinnaswamy Stadium, Bengaluru",Group Stage,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Bowling,Punjab Kings,Royal Challengers Bengaluru,176/6,178/6,RR 8.80,RR 9.21,RCB,4 wickets,Virat Kohli 
7,"MA Chidambaram Stadium, Chennai",Group Stage,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Bowling,Chennai Super Kings,Gujarat Titans,206/6,143/8,RR 10.30,RR 7.15,CSK,63 runs,Shivam Dube 
8,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Group Stage,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Bowling,Sunrisers Hyderabad,Mumbai Indians,277/3,246/5,RR 13.85,RR 12.30,SRH,31 runs,Abhishek Sharma 
9,"Sawai Mansingh Stadium, Jaipur",Group Stage,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Bowling,Rajasthan Royals,Delhi Capitals,185/5,173/5,RR 9.25,RR 8.65,RR,12 runs,Riyan Parag 
10,"M.Chinnaswamy Stadium, Bengaluru",Group Stage,Royal Challengers Bengaluru,Kolkata Knight Rider,Kolkata Knight Riders,Bowling,Royal Challengers Bengaluru,Kolkata Knight Riders,182/6,186/3,RR 9.10,RR 11.05,KKR,7 wickets,Sunil Narine 
11,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Group Stage,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,Batting,Lucknow Super Giants,Punjab Kings,199/8,178/5,RR 9.95,RR 8.90,LSG,21 runs,Mayank Yadav 
12,"Narendra Modi Stadium, Ahmedabad",Group Stage,Gujarat Titans,Sunriders Hyderabad,Sunrisers Hyderabad,Batting,Sunrisers Hyderabad,Gujarat Titans,162/8,168/3,RR 8.10,RR 8.77,GT,7 wickets,Mohit Sharma 
13,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Group Stage,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Batting,Delhi Capitals,Chennai Super Kings,191/5,171/6,RR 9.55,RR 8.55,DC,20 runs,Khaleel Ahmed 
14,"Wankhede Stadium, Mumbai",Group Stage,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Bowling,Mumbai Indians,Rajasthan Royals,125/9,127/4,RR 6.25,RR 8.19,RR,6 wickets,Trent Boult 
15,"M.Chinnaswamy Stadium, Bengaluru",Group Stage,Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,Bowling,Lucknow Super Giants,Royal Challengers Bengaluru,181/5,153/10,RR 9.05,RR 7.78,LSG,28 runs,Mayank Yadav
16,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Group Stage,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Batting,Kolkata Knight Riders,Delhi Capitals,272/7,166/10,RR 13.60,RR 9.58,KKR,106 runs,Sunil Narine
17,"Narendra Modi Stadium, Ahmedabad",Group Stage,Gujarat Titans,Punjab Kings,Punjab Kings,Bowling,Gujarat Titans,Punjab Kings,199/4,200/7,RR 9.95,RR 10.08,PBKS,3 wickets,Shashank Singh
18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Group Stage,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Bowling,Chennai Super Kings,Sunrisers Hyderabad,165/5,166/4,RR 8.25,RR 9.14,SRH,6 wickets,Abhishek Sharma
19,"Sawai Mansingh Stadium, Jaipur",Group Stage,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Bowling,Royal Challengers Bengaluru,Rajasthan Royals,183/3,189/4,RR 9.15,RR 9.86,RR,6 wickets,Jos Buttler
20,"Wankhede Stadium, Mumbai",Group Stage,Mumbai Indians,Delhi Capitals,Delhi Capitals,Bowling,Mumbai Indians,Delhi Capitals,234/5,205/8,RR 11.70,RR 10.25,MI,29 runs,Romario Shepherd
21,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Group Stage,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,Batting,Lucknow Super Giants,Gujarat Titans,163/5,130/10,RR 8.15,RR 6.90,LSG,33 runs,Yash Thakur
22,"MA Chidambaram Stadium, Chennai",Group Stage,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bowling,Kolkata Knight Riders,Chennai Super Kings,137/9,141/3,RR 6.85,RR 7.98,CSK,7 wickets,Ravinder Jadeja
